,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
1021466437456217445,Lists are the new search,Up your app's sharing game with DirectShare - Google Developers,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The barbell effect of machine learning.,This Super Accurate Portrait Selection Tech Uses Neural Networks
1024145536490998555,Porto Seguro compra carteira de seguros Auto da Chubb,Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Transforming life insurance with design thinking,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Jeff Seguros: SEGUROS E GAMES,The new tech talent you need to succeed in digital
1031060816592502094,Evernote anuncia integração com Google Drive | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Clean Coder Blog,Here's proof that Google is getting serious about battling Facebook in a key area,Google Cloud Goes to the Farm
1060159005880386235,Internet of Things Drives Outcome-Based Business Models,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Standing on the Shoulders of Giants - Built to Adapt,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Visa inaugura centro para inovação em pagamento digital | EXAME.com,Building Spring Cloud Microservices That Strangle Legacy Systems
1107739178195154647,Peças Translúcidas,How to finish 3D printed PLA objects,Lentes de contato inteligentes serão o wearable definitivo,Alecrim/AlecrimCoreData,1º Congresso Brasileiro de IoT - Embarcados,Announcing .NET Core 1.0
1283472251609674486,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","No dia das mães, Avon lança campanha com mãe de jovem gay",Workplace diversity in Brazil: there's still a long way to go,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
1318981494172475806,"Google acquires Synergyse, an interactive training service for Google Apps",Designing smart notifications,AI Is Here to Help You Write Emails People Will Actually Read,Building more accessible technology,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",What the Google I/O schedule tells us about the future of Android
1348739322889189648,Johnson & Johnson comprará grupo suíço por US$ 30 bi,Dries Buytaert,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,Why Is Learning Drupal Hard?
1356221992133852808,The brilliant mechanics of Pokémon Go,The Children's Illustrated Guide to Kubernetes,Mobile marketing statistics 2016,The surprising truth about which countries lead in digital,Confused by blockchains? Revolution vs Evolution,Latin America's chronic inefficiency could drive more O2O commerce growth
1379546145237381445,Eclipse Foundation Releases Neon,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Transfer Style But Not Color,CSS Containment in Chrome 52 | Web Updates - Google Developers,Serverless Architectures,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
1415230502586719648,Machine Learning Is Redefining The Enterprise In 2016,The AI business landscape,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Hello, TensorFlow!",Transfer Style But Not Color
1436883058900979473,The future of the shopping mall,The surprising truth about which countries lead in digital,Can Accenture Take Over Advertising?,Latin America's chronic inefficiency could drive more O2O commerce growth,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Usability Heuristics for Bots - Chatbots Magazine
1441248639512899483,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,1º Congresso Brasileiro de IoT - Embarcados,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,The AI business landscape,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects
1468327003955810686,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Python Is Not Java (dirtSimple.org),"Bots, Messenger and the future of customer service","Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Decentralizing IoT networks through blockchain
1469580151036142903,Don't document your code. Code your documentation.,When to make a Git Commit,Java Garbage Collection Essencial,"What do you mean by ""Event-Driven""?","Spanner, the Google Database That Mastered Time, Is Now Open to Everyone",Usando o git add interativo
1549650080907932816,Spark comparison: AWS vs. GCP,Nintendo has doubled in value since Pokémon Go's release,Google's Cloud Machine Learning service is now in public beta,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Google's cloud platform is now a force to be reckoned with,Google cloud boss Diane Greene: We're winning against AWS and Microsoft
1561244083438776495,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Do You Suffer From Deployment Anxiety? - DZone DevOps,Decentralizing IoT networks through blockchain,LPIC-OT DevOps Engineer | Linux Professional Institute,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
1567984561327445971,Testes unitários vs aceitação - Android Dev BR,How Do Top Android Developers QA Test Their Apps?,Cracking the Job Interview with TensorFlow,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Agile: Falta competência nos testes,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
1577045425286888616,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!","O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",#iLookLikeAnEngineer: One Year Later,Promoting gender equality through emoji �� ��,Criadas para casar,As expectativas das mulheres da Geração Y são muitas
1580124381109623727,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,The return of the machinery question,Blaise Agüera y Arcas: How computers are learning to be creative,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Artificial intelligence produces realistic sounds that fool humans,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
1639450243805666792,Rating the English Proficiency of Countries and Industries Around the World,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,#Sentaquelávemtextão,New settings for 2-Step Verification,Build Quality In: The Key to Continuous Delivery in Kanban
1649085803937938638,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Netflix emociona com vídeo destacando personagens LGBT,"No dia das mães, Avon lança campanha com mãe de jovem gay",Ordering coffee in Italy: the 10 commandments,Designing smart notifications
1649752043999819668,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,DBA BRASIL no INTEROPMIX 2016,Este texto do Ranieri é a melhor coisa que você lerá hoje,Things you probably didn't know you could do with Chrome's Developer Console,How it feels to learn Javascript in 2016,Ray Kurzweil: The world isn't getting worse - our information is getting better
1734266821019430183,WeChat's world,WeChat's competitor to Slack has arrived,"Deep Learning for Chatbots, Part 1 - Introduction",A digital crack in banking's business model,Why Is Learning Drupal Hard?,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog"
1738052593226421681,Como resolver conflitos no ambiente corporativo us,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Cinco competências comportamentais para você ser um bom líder,Digital Health Coaching
1768072794787289517,55 fornecedores de TI que apresentarão novidades no Ciab 2016,The economic essentials of digital strategy,Mobile Time,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,So you want to sell to banks?,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC
1768976290984301641,Top 5 Android Testing Frameworks with Examples,Developing Android unit and instrumentation tests - Tutorial,How Do Top Android Developers QA Test Their Apps?,Testes unitários vs aceitação - Android Dev BR,Agile: Falta competência nos testes,The Business Case for Progressive Web Apps
1796618361228441836,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,Android Developers Summer Reading List,Programação Reativa Funcional com RxJava,Android irá recomendar aplicativos baseado na localização | Google Discovery,Creating Compound Views on Android
1797761064772338938,Mobile Time,55 fornecedores de TI que apresentarão novidades no Ciab 2016,The economic essentials of digital strategy,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Meet the new Brazilian consumer,Meio&Mensagem
1854874463930846880,O dia em que tive mais medo de estar errada.,Para entender o Dia Internacional contra a Homofobia,#Sentaquelávemtextão,Google employees are adding 'Lady' to their job titles to fight sexism,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule","If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks"
1862503310075246782,Cinco competências essenciais ao IT Leaders - CIO,Assessing Salesforce's platform and ecosystem | ZDNet,Nubank e Goldman fecham parceria de R$ 200 milhões,Is FinTech Forcing Banking to a Tipping Point?,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",The Difference Between Sympathy And Empathy - Expanded Consciousness
1873952032843878490,Hype Driven Development,Communication patterns in a Microservice world,How to build cross-platform mobile apps using nothing more than a JSON markup,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Using Microservices Architecture as API Enablement Strategy
1878784080584939832,What Apple's differential privacy means for your data and the future of machine learning,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Up your app's sharing game with DirectShare - Google Developers,The barbell effect of machine learning.,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com
1881534532776527237,9 Non-Threatening Leadership Strategies for Women,"An independent organization just ranked Google as the best cloud, beating Amazon",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Jury finds Google's implementation of Java in Android was fair use
1929674614667189969,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,The economic essentials of digital strategy,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Inbox by Gmail ganha formatação de texto | Google Discovery,Two Different Sales Motions . . . .
1990052153136096105,Introducing Ask a Female Engineer,O que é liderança? Liderança é fazer a diversidade funcionar.,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
1992928170409443117,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Advanced Android Espresso,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Google's cloud platform is now a force to be reckoned with,Olli: Artificial Intelligence for the real world of connected commuting,Spark comparison: AWS vs. GCP
2025471325746532174,Serverless real-time architecture on AWS: there is a way !,Creating Your Code Review Checklist - DaedTech,Angular 2 versus React: There Will Be Blood - Free Code Camp,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",My favorite people and resources to learn Android programming from
2048657552251060795,Creating value in auto finance with vLendRight | Kevin Moseri,Goodbye accountants! Startup builds AI to automate all your accounting,How to Create an Exponential Mindset,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Algorithms and architecture for job recommendations,Assessing Salesforce's platform and ecosystem | ZDNet
2072448887839540892,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Wide & Deep Learning: Better Together with TensorFlow,"Bots, Messenger and the future of customer service","An independent organization just ranked Google as the best cloud, beating Amazon",Shopping app Spring's redesign could be a game-changer
2103268612948910635,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"No dia das mães, Avon lança campanha com mãe de jovem gay"
2106559900295325351,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Combining Spring Boot and JDBI,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Usando o git add interativo,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Internet of Things Drives Outcome-Based Business Models
2124033843135988844,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Branding é problema seu. E meu.,Quando o Scrum irá falhar - Tableless
2134259819148812594,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Não existe frete grátis!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons
2156244701966673186,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,"No dia das mães, Avon lança campanha com mãe de jovem gay",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
2229625391864201918,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Agile: Falta competência nos testes,Creating Compound Views on Android,Innovation is in all the wrong places,BDD Best Practices and Guidelines - Testing Excellence,Testes unitários vs aceitação - Android Dev BR
2259988589066296676,Meio&Mensagem,Meet the new Brazilian consumer,The economic essentials of digital strategy,Mobile Time,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The new tech talent you need to succeed in digital
2262656830196923781,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,SOA com microserviços - Sensedia,Firebase and Google Cloud: better together,Combining Spring Boot and JDBI,gotwarlost/istanbul
2267321579404324900,Migrating from Parse to Bluemix,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Olli: Artificial Intelligence for the real world of connected commuting,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,StrictMode for Runtime Analysis on Android - Google Developers
2277184202014276839,How to build cross-platform mobile apps using nothing more than a JSON markup,Using Microservices Architecture as API Enablement Strategy,15 minutos sobre Docker,Communication patterns in a Microservice world,15 Awesome Sublime Text Plugins For Web Development,Hype Driven Development
2280365999288629014,The Best Linux Distros of 2016,Programming by poking: why MIT stopped teaching SICP,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,It's The Future,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Say goodbye to traditional customer segmentation "" Banking Technology"
2285214528595997209,Docker e .Net,Aplicação de visão computacional com OpenCV,Kubernetes,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Jenkins 2.0 is here!,Modelando APIs REST com Swagger
2321412363020240814,Lean IT is all about people - o Lean na TI é focado em pessoas,The Difference Between Sympathy And Empathy - Expanded Consciousness,"5 awesome Google Keep features you aren't using, but should be",How to augment your career with leadership coaching,Digital Health Coaching,Investimentos em coaching e mentoring aumentam nas empresas
2362495898257544462,How Do Top Android Developers QA Test Their Apps?,Testes unitários vs aceitação - Android Dev BR,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",What makes a good (Android) Software Engineer,Firebase and Google Cloud: better together
2372438485070148864,The Continuous Delivery Maturity Model,Modelando APIs REST com Swagger,Docker e .Net,Serverless real-time architecture on AWS: there is a way !,Tech in Brazil is booming despite the country's political troubles,What Color is Your Function?
2417383163258637695,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Clean Coder Blog,Dark Scrum,You don't talk about refactoring club,Graduação já não garante uma carreira de sucesso em TI - CIO
2468005329717107277,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,"Secret's founder returns with Bold, a Medium for enterprise",The AI business landscape,Graph Capabilities with the Elastic Stack,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,It's The Future
2495913984359439198,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,Programação Reativa Funcional com RxJava,StrictMode for Runtime Analysis on Android - Google Developers,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Fresco, sim! - Android Dev BR",Building interfaces with ConstraintLayout - Google Developers
2508620055362300376,Using DiffUtil in Android RecyclerView,Listas com RecyclerView - Android Dev BR,Advanced Android Espresso,My experience with Google's Associate Android Developer Certification,Android Developers Summer Reading List,Programação Reativa Funcional com RxJava
2543311963908571128,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Decentralizing IoT networks through blockchain,Python Is Not Java (dirtSimple.org),What is WebAssembly? The Dawn of a New Era - JavaScript Scene,Firebase and Google Cloud: better together
2555983212310147009,The Definitive Guide to Database Version Control,Angular 2 versus React: There Will Be Blood - Free Code Camp,Promises | Web Fundamentals - Google Developers,Squads não-suicidas - Hipsters #08,Pull request first - Practical Blend,Microsoft's Open Source Love Affair Reaches New Heights
2581138407738454418,10 Modern Software Over-Engineering Mistakes,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Beyond Progressive Web Apps Part 1,Introduction to release engineering,Clean Coder Blog
2589533162305407436,6 reasons why I like KeystoneML,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Google's Cloud Machine Learning service is now in public beta,The AI business landscape,"Hello, TensorFlow!",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source
2601622077116449484,Bancos brasileiros fecham 200 agências em 2015 - Home - iG,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Designing smart notifications,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks"
2602221055863892168,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Gartner Reprint,Custo do Erro - Cinco motivos para investir em automação de testes
2607211459879791691,Leveling Up Your JavaScript -,The five phases of migrating to Google Cloud Platform,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Labelling automated builds on Docker Hub - Microscaling Systems,19 Tips For Everyday Git Use,One weird trick that will change the way you code forever: JavaScript TDD
2625883933130361261,Making open source data more available,The barbell effect of machine learning.,Google researchers teach AIs to see the important parts of images - and tell you about them,The AI business landscape,Shopping app Spring's redesign could be a game-changer,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet"
2633209697262372913,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Kubernetes,Aplicação de visão computacional com OpenCV,Top Programming Languages Trends: The Rise of Big Data,Docker e .Net,Java Garbage Collection Essencial
2645380860642118790,'We've realized a ten-year strategy goal in one year',Speeding up ReSharper (and Visual Studio),Artificial intelligence produces realistic sounds that fool humans,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,Google researchers teach AIs to see the important parts of images - and tell you about them,Google is testing a new Material Design layout for desktop searches
2687654465640040976,Google is testing a new Material Design layout for desktop searches,The Netflix Tech Blog: Netflix Billing Migration to AWS,Docker 1.12: Now with Built-in Orchestration!,What to Inspect When You are Inspecting!,Using behavioral data to improve customer satisfaction,Decentralizing IoT networks through blockchain
2708089973817733462,You don't talk about refactoring club,The Business Case for Progressive Web Apps,How to Design a Walkthrough That Users Will Read,The Importance of Code Reviews,Clean Coder Blog,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise"
2709926970543371965,A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Criadas para casar,#iLookLikeAnEngineer: One Year Later,Promoting gender equality through emoji �� ��,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia"
2715453133655798791,'The Simpsons' celebrates 600 episodes with a VR couch gag,Cubr,Laboratório da Disney cria robô que pula,"How to build a robot that ""sees"" with $100 and TensorFlow",Using behavioral data to improve customer satisfaction,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs
2719909253419802298,As expectativas das mulheres da Geração Y são muitas,Workplace diversity in Brazil: there's still a long way to go,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",#Sentaquelávemtextão,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
2725842723638001955,Micro Profile JavaEE com Wildfly Swarm,The Java 8 API Design Principles,Kotlin no Backend (Parte 2) :: Concrete Solutions,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Combining Spring Boot and JDBI
2727743992157210358,The Future of Digital Banking is Now,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Lists are the new search,Bradesco vai lançar novo banco digital: o Next.,Graduação já não garante uma carreira de sucesso em TI - CIO,"Microsoft adquire LinkedIn por US$ 26,2 bilhões"
2765063319512128208,360 million reasons to destroy all passwords - Free Code Camp,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Artificial intelligence is changing SEO faster than you think,This Super Accurate Portrait Selection Tech Uses Neural Networks,Lists are the new search,The barbell effect of machine learning.
2809702925357288303,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",Notes on Reactive Programming Part I: The Reactive Landscape,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,Goodbye accountants! Startup builds AI to automate all your accounting,Algorithms and architecture for job recommendations,How to Create an Exponential Mindset
2817960273225808857,Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,Who sponsors Drupal development? | Dries Buytaert,The return of the machinery question,Google Cloud Platform sets a course for new horizons,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",14 Cool Drupal 8 modules for site builders | August 2016
2822049545552366036,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,The return of the machinery question,The AI business landscape,Why the customer experience matters,Wide & Deep Learning: Better Together with TensorFlow,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
2857117417189640073,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Accenture amplia atuação no Brasil,Ordering coffee in Italy: the 10 commandments,"Bots, Messenger and the future of customer service",Why the customer experience matters
2858969450431709251,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Up your app's sharing game with DirectShare - Google Developers,Introduction to release engineering,Lists are the new search,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The barbell effect of machine learning.
2916072977192006313,Confused by blockchains? Revolution vs Evolution,A digital crack in banking's business model,What Google AMP Means for Every Marketer,Usability Heuristics for Bots - Chatbots Magazine,Accidental discovery could help batteries last years longer,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog"
2930191803881821526,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,When to make a Git Commit,How to build cross-platform mobile apps using nothing more than a JSON markup,Most Interesting APIs in 2016: Cognitive Computing,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Mastering Bash and Terminal
2952636544547704346,Rewiring Citi for the digital age,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Here's proof that Google is getting serious about battling Facebook in a key area,An operating model for company-wide agile development,Two Different Sales Motions . . . .,An operating model for company-wide agile development
3035329611795434601,Bots won't replace apps. Better apps will replace apps.,Google lança YouTube Kids no Brasil | Google Discovery,Chatbots: Are they better without the chat?,Making open source data more available,Ordering coffee in Italy: the 10 commandments,This Super Accurate Portrait Selection Tech Uses Neural Networks
3064370296170038610,"Google, Amazon and the upcoming battle over AI Assistants",Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question,Bad Writing Is Destroying Your Company's Productivity,The rise of APIs,"Hello, TensorFlow!"
3075564241645350154,Decentralizing IoT networks through blockchain,Why porting an iOS design to Android will not work,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,What to Inspect When You are Inspecting!,Docker 1.12: Now with Built-in Orchestration!,The Netflix Tech Blog: Netflix Billing Migration to AWS
3091351089612339864,What's the Best Programming Language to Learn in 2017?,Discutindo Devops na Prática,Most Interesting APIs in 2016: Cognitive Computing,Mastering Bash and Terminal,Java 8 Streams : 10 missing features,When to make a Git Commit
3099207916247126790,Introducing New Relic Infrastructure,Top Programming Languages Trends: The Rise of Big Data,Microservices testing,Torus,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Cubr
3142843830268077617,Building Flipkart Lite: A Progressive Web App,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,"How to build a robot that ""sees"" with $100 and TensorFlow",Kotlin no Backend (Parte 2) :: Concrete Solutions,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
3149164017776669829,Mobile marketing statistics 2016,The rise of APIs,A digital crack in banking's business model,Governo brasileiro cria manual para contratação de cloud,The surprising truth about which countries lead in digital,Latin America's chronic inefficiency could drive more O2O commerce growth
3170775058142440102,Criadas para casar,A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,#iLookLikeAnEngineer: One Year Later,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Promoting gender equality through emoji �� ��
3180828616327439381,Governo define cronograma para plano nacional de Internet das Coisas,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Organizing for digital acceleration: Making a two-speed IT operating model work,Five questions boards should ask about IT in a digital world,Especial: O papel dos grandes provedores de TI na Rio 2016
3205047378909988692,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Announcing .NET Core 1.0,Building Flipkart Lite: A Progressive Web App,Microsoft expands its support for Docker containers,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Kotlin no Backend (Parte 2) :: Concrete Solutions
3262705634545542432,On Orchestrated Microservices - Built to Adapt,Combining Spring Boot and JDBI,SOA com microserviços - Sensedia,"Kotlin in Production - What works, Whats broken",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
